VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Lophius budegassa,English,Black-bellied angler,Blackbellied angler,European anglerfish
Lophius gastrophysus,English,Blackfin goosefish,Anglerfish,
Lophius litulon,English,Yellow goosefish,Anglerfish,
Lophius piscatorius,English,Angler fish,Angler,Anglerfish
Lophius vaillanti,English,Shortspine African angler,Shortspine african anglerfish,Monk
Lophius vomerinus,English,Cape monk,Devil anglerfish,Monk
Lophodiodon calori,English,Four-bar porcupinefish,Fourbar porcupinefish,
Lophodolos acanthognathus,English,Whalehead dreamer,,
Lophogobius cyprinoides,English,Crested goby,,
Lopholatilus chamaeleonticeps,English,Golden tilefish,Great northern tilefish,Gunnet
Lopholatilus villarii,English,Tile fish,,
Lopholiparis flerxi,English,Hardhead snailfish,,
Lophonectes gallus,English,Crested flounder,,
Lophotus capellei,English,North Pacific crestfish,Schlegel's lophotid fish,Crestfish
Lophotus guentheri,English,Crested bandfish,Unicorn fish,Unicorn ribbon-fish
Lophotus lacepede,English,Crested bandfish,Crested oarfish,Unicorn fish
Lotella phycis,English,Slender beardie,Slender beardy,Beardie
Lotella rhacina,English,Beardie cod,Kelp rock cod,Largetooth beardie
Lotilia graciliosa,English,Whitecap goby,,
Lotilia klausewitzi,English,Dancer shrimp goby,Dancer shrimp-goby,Graceful prawn goby
Lovettia sealii,English,Derwent smelt,Derwent whitebait,Tasmanian troutlet
Loweina interrupta,English,Lanternfish,,
Loweina rara,English,Laura's lantern fish,Rare lanternfish,Lanternfish
Lubbockichthys multisquamatus,English,Fine-scaled dottyback,Finescale dottyback,Pink dottyback
Lubbockichthys tanakai,English,Tanaka's dottyback,,
Lubricogobius dinah,English,Dinah's goby,,
Lubricogobius exiguus,English,Yellow pygmy-goby,,
Lubricogobius nanus,English,Tiny goby,,
Lubricogobius ornatus,English,Ornate goby,Ornate slippery goby,
Lubricogobius tunicatus,English,Tunicate goby,,
Lucania parva,English,Rainwater killifish,,
Lucayablennius zingaro,English,Arrow blenny,,
Lucifuga lucayana,English,Lucaya cavebrotula,,
Lucifuga spelaeotes,English,Bahaman cavefish,Blind Bahamian cave-fish,New Providence cusk-eel
Lucigadus microlepis,English,Smallfin whiptail,,
Lucigadus nigromaculatus,English,Black-spotted whiptail,Blackspot rattail,Blackspot whiptail
Lucigadus ori,English,Bronze whiptail,,
Luciogobius dongyinensis,English,Dongyin earthworm goby,,
Luciogobius guttatus,English,Flat-headed goby,,
Luciogobius matsuensis,English,Matsu earthworm goby,,
Luciogobius opisthoproctus,English,Taiwan earthworm goby,,
Luciosudis normani,English,Norman's waryfish,Paperbones,
Lumiconger arafura,English,Black conger-eel,Luminous conger,
Lumpenella longirostris,English,Long-snouted blenny,Longsnout prickleback,
Lumpenopsis clitella,English,Saddled prickleback,,
Lumpenopsis hypochroma,English,Y-blenny,Y-prickleback,
Lumpenus fabricii,English,Slender eelblenny,,
Lumpenus lampretaeformis,English,Serpent blenny,Snake blenny,Snakeblenny
Lumpenus sagitta,English,Pacific snake prickleback,Snake prickleback,Eel-blenny
Lupinoblennius nicholsi,English,Highfin blenny,,
Lupinoblennius vinctus,English,Mangrove blenny,,
Luposicya lupus,English,Cup-sponge goby,Dog-snout spongegoby,Long-snout sponge-goby
Lutjanus adetii,English,Yellow-band snapper,Yellow-banded hussar,Yellow-banded sea perch
Lutjanus agennes,English,African cubera snapper,African red snapper,Grey snapper
Lutjanus alexandrei,English,Brazilian snapper,,
Lutjanus ambiguus,English,Ambiguous snapper,Cuban snapper,
Lutjanus analis,English,Mutton fish,Mutton snapper,Virgin snapper
Lutjanus apodus,English,Dogtooth snapper,Schoolmaster snapper,Schoolmaster
Lutjanus aratus,English,Mullet snapper,,
Lutjanus argentimaculatus,English,Creek red bream,Dog bream,Gray snapper
Lutjanus argentiventris,English,Amarillo snapper,Yellow snapper,
Lutjanus bengalensis,English,Bengal snapper,Red snapper,Snapper
Lutjanus biguttatus,English,Two-spot banded,Two-spot banded seaperch,Two-spot banded snapper
Lutjanus bitaeniatus,English,Indonesian seaperch,Indonesian snapper,White-tipped sea-perch
Lutjanus bohar,English,Bohar snapper,Kelp bream,Kelp sea perch
Lutjanus boutton,English,Button snapper,Curry fish,Mollucan snapper
Lutjanus buccanella,English,Black spot snapper,Blackfin red snapper,Blackfin snapper
Lutjanus campechanus,English,Carribbean red snapper,Mexican red snapper,Mutton snapper
Lutjanus carponotatus,English,Dusky-striped sea-perch,Dusky-striped snapper,Gold-banded sea perch
Lutjanus coeruleolineatus,English,Blue line snapper,Blueline snapper,
Lutjanus colorado,English,Colorado snapper,,
Lutjanus cyanopterus,English,Canteen snapper,Cuban snapper,Cubera snapper
Lutjanus decussatus,English,Checkered seaperch,Checkered snapper,Chequered snapper
Lutjanus dentatus,English,African brown snapper,Brown snapper,Red fish
Lutjanus dodecacanthoides,English,Red snapper,Sunbeam snapper,Snapper
Lutjanus ehrenbergii,English,Black-spot snapper,Blackspot snapper,Ehrenberg's seaperch
Lutjanus endecacanthus,English,Guinea snapper,,
Lutjanus erythropterus,English,Crimson seaperch,Crimson snapper,Firespot snapper
Lutjanus fulgens,English,African golden snapper,African red snapper,Golden African snapper
Lutjanus fulviflamma,English,Black-spot sea perch,Black-spot seaperch,Black-spot snapper
Lutjanus fulvus,English,Black-tail snapper,Blacktail snapper,Blacktailed snapper
Lutjanus gibbus,English,Humpback red snapper,Humpback redsnapper,Humpback snapper
Lutjanus goldiei,English,Papuan black bass,Papuan black snapper,Snapper
Lutjanus goreensis,English,Gorean lagoon snapper,Gorean snapper,Pink snapper
Lutjanus griseus,English,Black pargue,Black snapper,Gray silk
Lutjanus guilcheri,English,Yellowfin red snapper,Yellowfin redsnapper,
Lutjanus guttatus,English,Rose snapper,Spotted rose snapper,
Lutjanus inermis,English,Golden snapper,,
Lutjanus jocu,English,Dog snapper,Dog's tooth snapper,Dogteeth pargue
Lutjanus johnii,English,Big-scaled bream,Fingermark bream,Fingermark seaperch
Lutjanus jordani,English,Jordan's snapper,Red snapper,Rufous snapper
Lutjanus kasmira,English,Blue and yellow snapper,Blue-banded hussar,Blue-banded sea perch
Lutjanus lemniscatus,English,Dark-tailed sea perch,Dark-tailed sea-perch,Dark-tailed seaperch
Lutjanus lunulatus,English,Crescent snapper,Lunartail seaperch,Lunartail snapper
Lutjanus lutjanus,English,Big-eye snapper,Bigeye sea perch,Bigeye seaperch
Lutjanus madras,English,Indian snapper,,
Lutjanus mahogoni,English,Lantern jaw,Mahagony snapper,Mahogany snapper
Lutjanus malabaricus,English,Big-mouth nannygai,Large-mouthed nannygai,Large-mouthed sea-perch
Lutjanus mizenkoi,English,Golden snapper,Mizenko's snapper,Samoan snapper
Lutjanus monostigma,English,Black spot red snapper,Black spot snapper,Bluelined snapper
Lutjanus notatus,English,Bluestriped snapper,Snapper,
Lutjanus novemfasciatus,English,Dog snapper,Pacific cubera snapper,Pacific dog snapper
Lutjanus octolineatus,English,Whitebelly snapper,,
Lutjanus ophuysenii,English,Spotstripe snapper,,
Lutjanus papuensis,English,Papuan snapper,,
Lutjanus peru,English,Pacific red snapper,,
Lutjanus purpureus,English,American red,Caribbean red snapper,Southern red
Lutjanus quinquelineatus,English,Blue-banded sea-perch,Blue-banded snapper,Blue-striped snapper
Lutjanus rivulatus,English,Blubberlip snapper,Blue-spotted sea-perch,Blue-spotted seaperch
Lutjanus rufolineatus,English,Golden-lined snapper,Moluccan seaperch,Red-lined snapper
Lutjanus russellii,English,Fingermark bream,John's snapper,Moses perch
Lutjanus sanguineus,English,Blood snapper,Bloodred snapper,Humphead snapper
Lutjanus sebae,English,Emperor bream,Emperor red snapper,Emperor snapper
Lutjanus semicinctus,English,Black-banded seaperch,Black-banded snapper,Blackbanded snapper
Lutjanus stellatus,English,Star snapper,White-spotted snapper,
Lutjanus synagris,English,Lane snapper,Mexican snapper,Moonlight grunt
Lutjanus timoriensis,English,Timor seaperch,Timor snapper,
Lutjanus viridis,English,Blue and gold snapper,Blue-and-gold snapper,
Lutjanus vitta,English,Broadband seaperch,Brown stripe red snapper,Brown stripe snapper
Lutjanus vivanus,English,Day snapper,Red snapper,Silk snapper
Lutjanus xanthopinnis,English,Indian snapper,Yellowfin snapper,Snapper
Luvarus imperialis,English,Silver king,Louvar,Luvar
Luzonichthys earlei,English,Earle's splitfin,,
Luzonichthys kiomeamea,English,Rapa Nui splitfin,,
Luzonichthys microlepis,English,Slender splitfin,,
Luzonichthys seaver,English,Seaver splitfin,,
Luzonichthys taeniatus,English,Orange-striped pygmy basslet,Striped splitfin,
Luzonichthys waitei,English,Magenta slender basslet,Magenta splitfin,Purple pygmy basslet
Luzonichthys whitleyi,English,Whitley's splitfin,,
Lycenchelys alba,English,White eelpout,,
Lycenchelys crotalinus,English,Snakehead eelpout,,
Lycenchelys jordani,English,Shortjaw eelpout,,
Lycenchelys kolthoffi,English,Checkered wolf eel,,
Lycenchelys muraena,English,Moray wolf eel,,
Lycenchelys parini,English,Parin's wolf eelpout,,
Lycenchelys paxillus,English,Common wolf eel,,
Lycenchelys remissaria,English,Shifted wolf eelpout,,
Lycenchelys sarsii,English,Sar's wolf eel,Sars wolf eel,
Lycenchelys verrillii,English,Wolf eelpout,,
Lycengraulis grossidens,English,Atlantic sabertooth anchovy,Atlantic sabretooth anchovy,River anchovy
Lycengraulis poeyi,English,Pacific sabretooth anchovy,,
Lycodapus dermatinus,English,Looseskin eelpout,,
Lycodapus endemoscotus,English,Deepwater slipskin,,
Lycodapus fierasfer,English,Bigtooth eelpout,Blackmouth eelpout,Pearly eel-pout
Lycodapus leptus,English,Slender eelpout,,
Lycodapus mandibularis,English,Pale eelpout,Pallid eelpout,
Lycodapus pachysoma,English,Stout slipskin,,
Lycodapus parviceps,English,Smallhead eelpout,Stubraker sculpin,
Lycodapus psarostomatus,English,Specklemouth eelpout,,
Lycodes adolfi,English,Adolf's eelpout,,
Lycodes albolineatus,English,Whitebar eelpout,,
Lycodes beringi,English,Bering eelpout,,
Lycodes brevipes,English,Shortfin eelpout,,
Lycodes brunneofasciatus,English,Tawnystripe eelpout,,
Lycodes concolor,English,Ebony eelpout,,
Lycodes cortezianus,English,Bigfin eelpout,,
Lycodes diapterus,English,Black eelpout,Black-finned eel-pout,Blackfin eelpout
Lycodes esmarkii,English,Esmark's ellpout,Greater eelpout,
Lycodes eudipleurostictus,English,Doubleline eelpout,,
Lycodes fasciatus,English,Banded eelpout,,
Lycodes frigidus,English,Glacial eelpout,,
Lycodes gracilis,English,Vahl's eelpout,,
Lycodes jugoricus,English,Shulupaoluk,,
Lycodes lavalaei,English,Laval's eelpout,Newfoundland eelpout,
Lycodes luetkenii,English,Lütken's eelpout,,
Lycodes marisalbi,English,White sea eelpout,,
Lycodes mcallisteri,English,McAllister's eelpout,,
Lycodes mucosus,English,Saddled eelpout,,
Lycodes paamiuti,English,Paamiut eelpout,,
Lycodes pacificus,English,Blackbelly eelpout,,
Lycodes palearis,English,Wattled eelpout,,
Lycodes pallidus,English,Pale eelpout,,
Lycodes polaris,English,Canadian eelpout,Polar eelpout,
Lycodes raridens,English,Marbled eelpout,Eelpout,
Lycodes reticulatus,English,Arctic eelpout,,
Lycodes rossi,English,Threespot eelpout,,
Lycodes sagittarius,English,Archer eelpout,,
Lycodes seminudus,English,Longear eelpout,,
Lycodes squamiventer,English,Scalebelly eelpout,,
Lycodes terraenovae,English,Newfoundland eelpout,,
Lycodes turneri,English,Polar eelpout,,
Lycodes vahlii,English,Checker eelpout,,
Lycodichthys dearborni,English,Eelpout,,
Lycodonus mirabilis,English,Chevron scutepout,,
Lyconema barbatum,English,Bearded eelpout,,
Lyopsetta exilis,English,Slender sole,,
Lythrichthys cypho,English,Dwarf red deepwater scorpionfsh,,
Lythrichthys dentatus,English,Gap-toothed red deepwater scorpionfsh,,
Lythrichthys eulabes,English,Jordan's red deepwater scorpionfsh,,
Lythrichthys grahami,English,Graham's red deepwater scorpionfsh,,
Lythrichthys longimanus,English,Red deepwater scorpionfish,Red scorpionfish,Red smooth scorpionfish
Lythrypnus crocodilus,English,Mahogany goby,,
Lythrypnus dalli,English,Bluebanded goby,Catalina goby,
Lythrypnus elasson,English,Dwarf goby,,
Lythrypnus gilberti,English,Galapagos blue-banded goby,,
Lythrypnus heterochroma,English,Diphasic goby,,
Lythrypnus insularis,English,Distant goby,,
Lythrypnus minimus,English,Pygmy goby,,
Lythrypnus nesiotes,English,Island goby,,
Lythrypnus okapia,English,Okapi goby,,
Lythrypnus phorellus,English,Convict goby,,
Lythrypnus pulchellus,English,Gorgeous goby,,
Lythrypnus rhizophora,English,Spotcheek goby,Spottedcheek goby,
Lythrypnus spilus,English,Bluegold goby,Spotwing goby,
Lythrypnus zebra,English,Zebra goby,,
Macolor macularis,English,Black and white snapper,Black-and-white snapper,Midnight seaperch
Macolor niger,English,Black & white snapper,Black and white seaperch,Black and white snapper
Macrocephenchelys brevirostris,English,Rubbernose conger,,
Macrodon ancylodon,English,German salmon,King weakfish,Rock salmon
Macrodon atricauda,English,Southern King Weakfish,,
Macrodon mordax,English,Dogteeth weakfish,,
Macrodontogobius wilburi,English,Big-toothed goby,Largetooth goby,Wilbur's goby
Macroparalepis affinis,English,Barracudina,,
Macroparalepis johnfitchi,English,Black barracudina,,
Macroparalepis macrogeneion,English,Longfin barracudina,Barracudina,
Macroparalepis nigra,English,Black barracudina,,
Macropharyngodon bipartitus,English,Diamond wrasse,Divided wrasse,Rare wrasse
Macropharyngodon choati,English,Choat's leopard-wrasse,Choat's wrasse,Red-flecked wrasse
Macropharyngodon cyanoguttatus,English,Bluespotted wrasse,,
Macropharyngodon geoffroy,English,Geoffroy's wrasse,Potter's wrasse,Shortnose wrasse
Macropharyngodon kuiteri,English,Black leopard wrasse,Ear-spot wrasse,Kuiter's leopard-wrasse
Macropharyngodon meleagris,English,Blackspotted wrasse,Eastern leopard wrasse,Guinea fowl wrasse
Macropharyngodon negrosensis,English,Black leopard wrasse,Black wrasse,Negros wrasse
Macropharyngodon ornatus,English,False leopard,False leopard wrasse,Ornate leopard wrasse
Macropharyngodon pakoko,English,Pakoko wrasse,,
Macropharyngodon vivienae,English,Madagascar wrasse,,
Macropinna microstoma,English,Pacific barreleye,Barreleye,
Macroramphosus gracilis,English,Little bellowsfish,Slender snipefish,Trumpet fish
Macroramphosus scolopax,English,Common bellowsfish,Common snipefish,Deepbody snipefish
Macrorhamphosodes platycheilus,English,Largegill trumpetsnout,Trumpetsnout spikefish,
Macrorhamphosodes uradoi,English,Common trumpetsnout,Spikefish,Trumpetsnout
Macrospinosa cuja,English,Cuja bola,,
Macrouroides inflaticeps,English,Inflated whiptail,,
Macrourus berglax,English,Canadian roughy,Onion eye,Onion-eye grenadier
Macrourus caml,English,Caml grenadier,,
Macrourus carinatus,English,Bigeye grenadier,Ridge scaled rattail,Ridgescale whiptail
Macrourus holotrachys,English,Big-eye grenadier,Bigeye grenadier,Grenadier
Macrourus whitsoni,English,Macrourus whitsoni,Whitson's grenadier,
Macrurocyttus acanthopodus,English,Dwarf dory,,
Macruronus capensis,English,Cape grenadier,Cape straptail,Straptail
Macruronus magellanicus,English,Argentine straptail,Patagonian grenadier,Patagonian whiphake
Macruronus novaezelandiae,English,Blue grenadier,Blue hake,New Zealand straptail
Magnisudis atlantica,English,Duckbill barracudina,Barracudina,
Magnisudis prionosa,English,Duckbill barracudina,Southern barracudina,Barracudina
Mahidolia mystacina,English,Flagfin prawn goby,Flagfin shrimpgoby,Smiling goby
Mahidolia paucipora,English,Tiny shrimpgoby,,
Makaira mazara,English,Blue marlin,Blue marlin fish,Cuban blue marlin
Makaira nigricans,English,Atlantic blue marlin,,
Malacanthus brevirostris,English,Banded blanquillo,False whiting,Flagtail blanquillo
Malacanthus latovittatus,English,Banded blanquillo,Blue blanquillo,Blue latovittatus
Malacanthus plumieri,English,Sand eel,Sand tilefish,Muttonfish
Malacocephalus hawaiiensis,English,Hawaiian softhead grenadier,,
Malacocephalus laevis,English,Armed grenadier,Smooth headed rattail,Smooth whiptail
Malacocephalus occidentalis,English,American straptail grenadier,Western softhead grenadier,Grenadier
Malacocottus aleuticus,English,Whitetail sculpin,,
Malacocottus kincaidi,English,Blackfin sculpin,,
Malacocottus zonurus,English,Bartail sculpin,Darkfin sculpin,
Malacoctenus aurolineatus,English,Goldline blenny,,
Malacoctenus boehlkei,English,Diamond blenny,,
Malacoctenus brunoi,English,Trindade scaled-blenny,,
Malacoctenus delalandii,English,Brazilian blenny,Delalande Blenny,
Malacoctenus ebisui,English,Fishgod blenny,,
Malacoctenus erdmani,English,Imitator blenny,,
Malacoctenus gigas,English,Sonora blenny,,
Malacoctenus gilli,English,Dusky blenny,,
Malacoctenus hubbsi,English,Redside blenny,,
Malacoctenus lianae,English,Noronha scaly blenny,,
Malacoctenus macropus,English,Rosy blenny,,
Malacoctenus margaritae,English,Margarita blenny,,
Malacoctenus tetranemus,English,Chameleon clinid,Throatspotted blenny,
Malacoctenus triangulatus,English,Saddle Blenny,Saddled blenny,
Malacoctenus versicolor,English,Barfin blenny,,
Malacoctenus zacae,English,Zaca blenny,,
Malacoctenus zaluari,English,Rusty scaly blenny,,
Malacoctenus zonifer,English,Glossy blenny,,
Malacoctenus zonogaster,English,Belted blenny,,
Malacosteus australis,English,Southern stoplight loosejaw,,
Malacosteus niger,English,Black hinged-head,Black loosejaw,Lightless loosejaw
Malakichthys elegans,English,Lantern belly,Splendid seabass,
Malakichthys levis,English,Smooth seabass,,
Malakichthys mochizuki,English,Mochizuki's seabass,,
Malakichthys wakiyae,English,Silverbelly seaperch,,
Mallotus villosus,English,Breakfast fish,Cock caplin,Tea fish
Malthopsis annulifera,English,Ring triangular batfish,,
Malthopsis apis,English,Apine triangular batfish,,
Malthopsis arrietty,English,Short-horn triangular batfish,,
Malthopsis asperata,English,Roughspine batfish,Roughspine triangular batfish,
Malthopsis austrafricana,English,Southern African triangular batfish,,
Malthopsis bradburyae,English,Bradbury's triangular batfish,,
Malthopsis bulla,English,Flatscale triangular batfish,,
Malthopsis formosa,English,Taiwanese triangular batfish,,
Malthopsis gigas,English,Giant triangular batfish,,
Malthopsis gnoma,English,Atlantic triangular batfish,,
Malthopsis jordani,English,Hawaiian triangular batfish,Jordan's triangular batfish,
Malthopsis kobayashii,English,Kobayashi's triangular batfish,Longnose seabat,
Malthopsis lutea,English,Longnose seabat,Mud batfish,Yellow triangular batfish
Malthopsis mcgroutheri,English,McGrouther's triangular batfish,,
Malthopsis mitrigera,English,Two-spine triangular batfish,Twospine batfish,
Malthopsis oculata,English,Bigeye triangular batfish,,
Malthopsis parva,English,Arrowhead batfish,Arrowhead triangular batfish,
Malthopsis provocator,English,Prickle triangular batfish,,
Malthopsis retifera,English,Reticulate triangular batfish,,
Malthopsis tetrabulla,English,Queensland triangular batfish,,
Malthopsis tiarella,English,Spearnose seabat,,
Malthopsis velutina,English,Polynesian triangular batfish,,
Malvoliophis pinguis,English,Halfband snake eel,,
Mancopsetta maculata,English,Antarctic armless flounder,Spotted flounder,
Manonichthys alleni,English,Sabah dottyback,,
Manonichthys jamali,English,Jamal's dottyback,,
Manonichthys paranox,English,Midnight dottyback,,
Manonichthys polynemus,English,Long-finned dottyback,Longfin dottyback,Threadfin dottyback
Manonichthys scintilla,English,Sparkfin Dottyback,,
Manonichthys splendens,English,Splendid dottyback,,
Manonichthys winterbottomi,English,False midnight dottyback,,
Marcelogobius helenae,English,Helen's goby,,
Marcelogobius splechtnai,English,Splechtna's goby,,
Margrethia obtusirostra,English,Bighead portholefish,Bristlemouth,
Marilyna darwinii,English,Darwin toadfish,Darwin's toadfish,
Marilyna pleurosticta,English,Banded toadfish,Banded toado,Gold-finned toado
Marleyella bicolorata,English,Comb flounder,,
Maroubra perserrata,English,Sawtooth pipefish,,
Maroubra yasudai,English,Orange pipefish,,
Masturus lanceolatus,English,Sharpfin sunfish,Sharptail mola,Sharptail sunfish
Mataeocephalus acipenserinus,English,Sturgeon granadier,Sturgeon grenadier,Sturgeon whiptail
Mataeocephalus kotlyari,English,Kotlyar's whiptail,,
Mataeocephalus tenuicauda,English,Slendertail grenadier,,
Matanui bathytaton,English,Chatham deep-water triplefin,Chatham deepwater triplefin,
Matanui profundum,English,Deepwater triplefin,,
Matsubaraea fusiformis,English,Narrow duckbill,,
Matsubarichthys inusitatus,English,Rare velvetfish,,
Maulisia acuticeps,English,Sharpsnout tubeshoulder,,
Maulisia argipalla,English,Palegold searsid,Pitted tubeshoulder,
Maulisia mauli,English,Maul's searsid,Maul's tubeshoulder,
Maulisia microlepis,English,Smallscale searsid,Smallscale tubeshoulder,
Maurolicus amethystinopunctatus,English,Pearlsides,,
Maurolicus australis,English,Pennant lantern-fish,Pennant pearlside,
Maurolicus imperatorius,English,Emperor seamount lightfish,,
Maurolicus japonicus,English,North Pacific lightfish,,
Maurolicus javanicus,English,Javan pearlside,,
Maurolicus muelleri,English,Daisy pearlside,Mueller's bristle-mouth fish,Muller's bristlemouth fish
Maurolicus weitzmani,English,Atlantic pearlside,Pearlsides,
Maxillicosta lopholepis,English,Bigeye gurnard perch,,
Maxillicosta meridianus,English,Southern gurnard perch,,
Maxillicosta raoulensis,English,Red little gurnard perch,,
Maxillicosta scabriceps,English,Little gurnard perch,Little scorpionfish,
Maxillicosta whitleyi,English,Whitley's gurnard perch,Whitley's scorpionfish,
Mccoskerichthys sandae,English,Tufted blenny,,
Meadia abyssalis,English,Abyssal cutthroat eel,,
Mecaenichthys immaculatus,English,Green puller,Immaculate damsel,
Medialuna californiensis,English,Halfmoon,,
Megacataetyx niki,English,Brown brotula,,
Megalaspis cordyla,English,Cordyla scad,Finletted mackerel,Finletted mackerel scad
Megalocottus platycephalus,English,Belligerent sculpin,Flathead sculpin,
Megalocottus taeniopterus,English,Southern flathead sculpin,,
Megalops atlanticus,English,Atlantic tarpon,Cuffum,Madzorfloe
Megalops cyprinoides,English,Bastard mullet,Bony mullet,Broussonet tarpon
Meganthias carpenteri,English,Yellowtop Jewelfish,,
Meganthias filiferus,English,Filamentous anthiine,Filamentous seaperch,Lyretail seaperch
Meganthias natalensis,English,Gorgeous swallowtail,,
Meiacanthus abditus,English,Sulu fangblenny,Upside-down harptail blenny,
Meiacanthus abruptus,English,Komodo fangblenny,,
Meiacanthus anema,English,Freshwater fangblenny,Threadless blenny,
Meiacanthus atrodorsalis,English,Eye-lash harptail blenny,Eye-lash harptail-blenny,Eyelash fangblenny
Meiacanthus bundoon,English,Bundoon blenny,Bundoon fangblenny,
Meiacanthus crinitus,English,Hairytail fangblenny,Schooling harptail blenny,
Meiacanthus cyanopterus,English,Bluefin fangblenny,,
Meiacanthus ditrema,English,Doublepore fangblenny,One-striped poison-fang blenny,Schooling fangblenny
Meiacanthus erdmanni,English,Erdmann's fangblenny,,
Meiacanthus geminatus,English,Twin fangblenny,,
Meiacanthus grammistes,English,Black-banded blenny,Grammistes blenny,Line-spot harp-tail
Meiacanthus limbatus,English,Manus fangblenny,,
Meiacanthus lineatus,English,Lined fangblenny,Yellow-lined harp-tail,Yellow-lined harptail blenny
Meiacanthus luteus,English,Gold-stripe harptail blenny,Yellow fangbelly,
Meiacanthus mossambicus,English,Mozambique fangblenny,,
Meiacanthus naevius,English,Birthmark fangblenny,,
Meiacanthus nigrolineatus,English,Blackline fangblenny,,
Meiacanthus oualanensis,English,Canary fangblenny,,
Meiacanthus phaeus,English,Twilight fangblenny,,
Meiacanthus procne,English,Swallowtail fangblenny,,
Meiacanthus reticulatus,English,Reticulated fangblenny,,
Meiacanthus smithi,English,Disco blenny,Smith's fangblenny,Smith's harptail-blenny
Meiacanthus solomon,English,Solomon fangblenny,,
Meiacanthus urostigma,English,Tailspot fangblenny,,
Meiacanthus vicinus,English,Sulawesi fangblenny,,
Meiacanthus vittatus,English,Black-ribbon harptail blenny,Blackstripe blenny,Blackstripe fangblenny
Melamphaes acanthomus,English,Shoulderspine bigscale,Slender bigscale,
Melamphaes danae,English,Bigscale,,
Melamphaes longivelis,English,Eyebrow bigscale,Ridgehead,
Melamphaes lugubris,English,Highsnout bigscale,Highsnout melamphid,
Melamphaes microps,English,Ridgehead,,
Melamphaes parvus,English,Little bigscale,,
Melamphaes simus,English,Ridgehead,,
Melamphaes suborbitalis,English,Shoulderspine bigscale,Ridgehead,
Melamphaes typhlops,English,Ridgehead,,
Melanocetus johnsonii,English,Humpback anglerfish,Humpback blackdevil,Blackdevil
Melanocetus murrayi,English,Black deep-sea angler,Deepsea blackdevil,Murray's abyssal anglerfish
Melanogrammus aeglefinus,English,Arbroath smokie,Auchmithie cure,Close fish
Melanolagus bericoides,English,Bigscale deepsea smelt,Deep-sea Smelt,
Melanonus gracilis,English,Pelagic cod,,
Melanonus zugmayeri,English,Arrowtail cod,Arrowtail,
Melanorhinus boekei,English,St. Maarten pejerry,,
Melanorhinus cyanellus,English,Blackback silverside,Blackside silverside,
Melanorhinus microps,English,Querimana silverside,,
Melanostigma atlanticum,English,Atlantic soft pout,,
Melanostigma gelatinosum,English,Limp eelpout,,
Melanostigma pammelas,English,Black eelpout,Midwater eelpout,Pacific softpout
Melanostomias bartonbeani,English,Scaleless black dragonfish,Scaleless dragonfish,
Melanostomias globulifer,English,Brightchin dragonfish,,
Melanostomias niger,English,Fangtooth dragonfish,,
Melanostomias paucilaternatus,English,Spothead dragonfish,,
Melanostomias pauciradius,English,Three-ray dragonfish,,
Melanostomias tentaculatus,English,Tentacle dragonfish,,
Melanostomias valdiviae,English,Valdivia black dragon fish,Valdivia black dragonfish,Valdivia dragonfish
Melapedalion breve,English,Philippine snubnose halfbeak,,
Melichthys indicus,English,Black finned triggerfish,Black triggerfish,Indian triggerfish
Melichthys niger,English,Black durgeon,Black durgon,Black durgon triggerfish
Melichthys vidua,English,Paddle-fin triggerfish,Pink-tail trigger,Pinktail durgon
Membras analis,English,Backwaters silverside,,
Membras gilberti,English,Landia silverside,,
Membras martinica,English,Rough silverside,,
Mendosoma lineatum,English,Real bastard trumpeter,Telescope fish,
Mene maculata,English,Razor moonfish,Razor trevally,Moonfish
Menidia beryllina,English,Inland silverside,Mississippi silverside,Tide-water silverside
Menidia conchorum,English,Key silverside,,
Menidia menidia,English,Atlantic silverside,Green smelt,Northern silverside
Menidia peninsulae,English,Tidewater silverside,,
Menticirrhus americanus,English,Carolina whiting,Sand whiting,Sea mink
Menticirrhus elongatus,English,Pacific kingcroaker,Slender kingfish,
Menticirrhus littoralis,English,Gulf kingcroaker,Gulf kingfish,Kingfish
Menticirrhus nasus,English,Berrugato real,Highfin corvina,Highfin king croaker
Menticirrhus ophicephalus,English,Mismis kingcroaker,Snakehead kingcroaker,
Menticirrhus paitensis,English,Paita kingcroaker,Paita kingfish,
Menticirrhus panamensis,English,Berrugato panameño,Panama kingcroaker,Panama kingfish
Menticirrhus saxatilis,English,Northern king whiting,Northern kingcroaker,Northern kingfish
Menticirrhus undulatus,English,California corbina,California kingcroaker,Corbina
Merlangius merlangus,English,English whiting,European whiting,Golden cutlet
Merluccius albidus,English,Offshore hake,Offshore silver hake,Offshore whiting
Merluccius angustimanus,English,Dwarf hake,Panama hake,Hake
Merluccius australis,English,Blue whiting,Chilean hake,New Zealand hake
Merluccius bilinearis,English,Atlantic hake,New England hake,Silver hake
Merluccius capensis,English,Cape hake,Shallow-water Cape hake,Shallow-water hake
Merluccius gayi,English,Chilean hake,Chilean whiting,English hake
Merluccius hernandezi,English,Cortez hake,,
Merluccius hubbsi,English,Argentine hake,Atlantic hake,South Atlantic hake
Merluccius merluccius,English,European hake,,
Merluccius paradoxus,English,Deep water hake,Deep-water Cape hake,Deepwater hake
Merluccius patagonicus,English,Patagonian hake,,
