VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Acanthurus coeruleus,English,Blue barber,Blue doctor,Blue doctorfish
Acanthurus dussumieri,English,Dussumier's surgeonfish,Eye-stripe surgeonfish,Eyestripe surgeonfish
Acanthurus fowleri,English,Fowler's surgeonfish,Fowlers surgeonfish,Horse-shoe surgeon
Acanthurus gahhm,English,Black surgeonfish,Lined surgeonfish,
Acanthurus grammoptilus,English,Finelined surgeonfish,Inshore surgeon,Inshore surgeonfish
Acanthurus guttatus,English,Mustard surgeonfish,Mustard tang,Spotband surgeonfish
Acanthurus japonicus,English,Japan surgeonfish,Powder black surgeon,White-nose surgeonfish
Acanthurus leucocheilus,English,Pale lipped surgeonfish,Pale-lipped surgeonfish,Palelipped surgeonfish
Acanthurus leucopareius,English,Head-band surgeonfish,Whitebar surgeonfish,
Acanthurus leucosternon,English,Blue surgeonfish,Powder blue surgeonfish,Powder blue tang
Acanthurus lineatus,English,Blue banded surgeonfish,Blue linned surgeonfish,Blue-banded surgeonfish
Acanthurus maculiceps,English,Earbar surgeonfish,Pale-lined surgeonfish,Spot-face surgeon
Acanthurus mata,English,Bleeker's surgeonfish,Blue-lined surgeonfish,Bluelined surgeonfish
Acanthurus monroviae,English,Monrovia doctorfish,Monroviae doctorfish,Surgeon fish
Acanthurus nigricans,English,Black surgeonfish,Blackear surgeonfish,Gold-rim tang
Acanthurus nigricauda,English,Black-barred surgeonfish,Blackstreak surgeonfish,Epaulette surgeon
Acanthurus nigrofuscus,English,Blackspot surgeonfish,Brown surgeon,Brown surgeonfish
Acanthurus nigroris,English,Bluelined surgeonfish,Grey-head surgeonfish,Greyhead surgeonfish
Acanthurus nubilus,English,Bluelined surgeon,Bluelined surgeonfish,Pin-striped surgeon
Acanthurus olivaceus,English,Gendarme fish,Olive surgeonfish,Orange band surgeonfish
Acanthurus polyzona,English,Black-barred surgeonfish,,
Acanthurus pyroferus,English,Chocolate surgeonfish,Mimic surgeon,Mimic surgeonfish
Acanthurus randalli,English,Gulf surgeonfish,,
Acanthurus sohal,English,Red Sea clown surgeon,Red Sea surgeonfish,Sohal surgeonfish
Acanthurus tennentii,English,Doubleband surgeonfish,Leutenant surgeonfish,Lieutenant surgeon
Acanthurus thompsoni,English,Chocolate surgeon,Chocolate surgeonfish,Kandu kaalhu
Acanthurus tractus,English,Brown surgeonfish,Grey doctorfish,Ocean surgeonfish
Acanthurus triostegus,English,Convict surgeon,Convict surgeon-fish,Convict surgeonfish
Acanthurus tristis,English,Blackcheek surgeonfish,Indian mimic surgeon,Indian Ocean mimic surgeonfish
Acanthurus xanthopterus,English,Cuvier's Surgeonfish,Purple surgeonfish,Ring-tailed surgeonfish
Acarobythites larsonae,English,Larson's cusk,,
Acentrogobius audax,English,Blue-spotted mud-goby,Mangrove goby,
Acentrogobius caninus,English,Dog-toothed goby,Spotted green goby,Tropical sand goby
Acentrogobius cenderawasih,English,Cenderawasih goby,,
Acentrogobius dayi,English,Day's goby,,
Acentrogobius gracilis,English,Bluespotted mangrove goby,Bluespotted mangrovegoby,Mangrove goby
Acentrogobius griseus,English,Grey goby,,
Acentrogobius janthinopterus,English,Mangrove goby,Robust mangrove goby,
